task_id,task,deadline_days,complexity,resources,dependencies,priority,success,delay,gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,task_length,deadline_urgency,resource_efficiency,start_delay,completion_time,abandoned
TASK-539,Simulated task 539 with 55 words,11,0.452,0.621,3,3,0,1,,,,,,,,,55.0,0.273,1.123,2.2,11,1
TASK-540,Simulated task 540 with 97 words,28,1.0,0.184,4,4,0,1,,,,,,,,,97.0,0.143,0.167,5.6000000000000005,28,1
TASK-541,Simulated task 541 with 61 words,22,0.594,0.221,0,4,1,0,,,,,,,,,61.0,0.182,0.319,0.0,22,0
TASK-542,Simulated task 542 with 64 words,11,0.521,0.715,3,2,0,1,,,,,,,,,64.0,0.182,1.152,2.2,11,1
TASK-543,Simulated task 543 with 74 words,11,0.648,0.627,4,3,0,1,,,,,,,,,74.0,0.273,0.838,2.2,11,1
TASK-544,Simulated task 544 with 71 words,22,0.396,0.798,3,5,1,0,,,,,,,,,71.0,0.227,1.609,0.0,22,0
TASK-545,Simulated task 545 with 45 words,6,0.389,0.1,1,2,0,0,,,,,,,,,45.0,0.333,0.204,0.0,6,0
TASK-546,Simulated task 546 with 48 words,15,0.66,0.867,2,4,1,1,,,,,,,,,48.0,0.267,1.141,3.0,15,0
TASK-547,Simulated task 547 with 65 words,2,0.678,0.869,3,1,0,1,,,,,,,,,65.0,0.5,1.117,0.4,2,1
TASK-548,Simulated task 548 with 76 words,21,0.738,0.254,0,5,0,0,,,,,,,,,76.0,0.238,0.303,0.0,21,0
TASK-549,Simulated task 549 with 69 words,23,0.215,0.952,3,2,1,0,,,,,,,,,69.0,0.087,3.023,0.0,23,0
TASK-550,Simulated task 550 with 79 words,22,0.475,1.0,0,3,1,0,,,,,,,,,79.0,0.136,1.74,0.0,22,0
TASK-551,Simulated task 551 with 67 words,3,0.566,0.267,1,1,0,1,,,,,,,,,67.0,0.333,0.4,0.6000000000000001,3,1
TASK-552,Simulated task 552 with 59 words,27,0.644,0.627,4,2,1,1,,,,,,,,,59.0,0.074,0.843,5.4,27,0
TASK-553,Simulated task 553 with 68 words,28,0.605,0.65,1,5,1,0,,,,,,,,,68.0,0.179,0.921,0.0,28,0
TASK-554,Simulated task 554 with 50 words,5,0.33,0.151,0,1,0,1,,,,,,,,,50.0,0.2,0.35,1.0,5,1
TASK-555,Simulated task 555 with 65 words,29,0.603,0.517,2,2,1,0,,,,,,,,,65.0,0.069,0.736,0.0,29,0
TASK-556,Simulated task 556 with 47 words,24,0.564,0.951,3,2,1,1,,,,,,,,,47.0,0.083,1.432,4.800000000000001,24,0
TASK-557,Simulated task 557 with 76 words,11,0.564,0.385,4,5,0,1,,,,,,,,,76.0,0.455,0.58,2.2,11,1
TASK-558,Simulated task 558 with 38 words,21,0.281,1.0,1,3,1,0,,,,,,,,,38.0,0.143,2.627,0.0,21,0
TASK-559,Simulated task 559 with 30 words,12,0.313,0.692,0,1,1,0,,,,,,,,,30.0,0.083,1.675,0.0,12,0
TASK-560,Simulated task 560 with 60 words,26,0.862,0.402,2,2,0,0,,,,,,,,,60.0,0.077,0.418,0.0,26,0
TASK-561,Simulated task 561 with 72 words,3,0.697,0.611,0,5,0,0,,,,,,,,,72.0,1.667,0.767,0.0,3,0
TASK-562,Simulated task 562 with 66 words,9,0.487,0.234,2,2,0,1,,,,,,,,,66.0,0.222,0.399,1.8,9,1
TASK-563,Simulated task 563 with 50 words,27,0.491,0.707,3,5,1,1,,,,,,,,,50.0,0.185,1.197,5.4,27,0
TASK-564,Simulated task 564 with 41 words,3,0.945,0.552,6,5,0,1,,,,,,,,,41.0,1.667,0.528,0.6000000000000001,3,1
TASK-565,Simulated task 565 with 64 words,2,0.509,0.493,2,2,0,0,,,,,,,,,64.0,1.0,0.81,0.0,2,0
TASK-566,Simulated task 566 with 63 words,6,0.477,0.238,3,5,0,1,,,,,,,,,63.0,0.833,0.414,1.2000000000000002,6,1
TASK-567,Simulated task 567 with 67 words,24,0.341,0.58,0,1,1,0,,,,,,,,,67.0,0.042,1.314,0.0,24,0
TASK-568,Simulated task 568 with 75 words,6,0.453,0.651,6,5,0,1,,,,,,,,,75.0,0.833,1.177,1.2000000000000002,6,1
TASK-569,Simulated task 569 with 65 words,17,0.163,0.257,1,3,0,0,,,,,,,,,65.0,0.176,0.977,0.0,17,0
TASK-570,Simulated task 570 with 60 words,8,0.604,0.87,5,3,0,1,,,,,,,,,60.0,0.375,1.236,1.6,8,1
TASK-571,Simulated task 571 with 53 words,1,0.752,0.669,2,5,0,1,,,,,,,,,53.0,5.0,0.786,0.2,1,1
TASK-572,Simulated task 572 with 49 words,25,0.754,0.388,4,1,0,0,,,,,,,,,49.0,0.04,0.454,0.0,25,0
TASK-573,Simulated task 573 with 63 words,8,0.36,0.576,3,4,0,1,,,,,,,,,63.0,0.5,1.254,1.6,8,1
TASK-574,Simulated task 574 with 70 words,22,0.1,0.809,0,4,1,0,,,,,,,,,70.0,0.182,4.046,0.0,22,0
TASK-575,Simulated task 575 with 66 words,15,0.568,0.942,2,1,1,1,,,,,,,,,66.0,0.067,1.411,3.0,15,0
TASK-576,Simulated task 576 with 88 words,18,0.764,0.997,6,3,0,1,,,,,,,,,88.0,0.167,1.154,3.6,18,1
TASK-577,Simulated task 577 with 69 words,13,0.179,1.0,1,5,1,1,,,,,,,,,69.0,0.385,3.582,2.6,13,0
TASK-578,Simulated task 578 with 54 words,25,0.425,0.267,4,2,0,1,,,,,,,,,54.0,0.08,0.509,5.0,25,1
TASK-579,Simulated task 579 with 41 words,8,0.571,0.422,2,5,0,0,,,,,,,,,41.0,0.625,0.629,0.0,8,0
TASK-580,Simulated task 580 with 89 words,29,0.332,0.25,2,5,0,0,,,,,,,,,89.0,0.172,0.578,0.0,29,0
TASK-581,Simulated task 581 with 73 words,20,0.154,0.873,1,4,1,0,,,,,,,,,73.0,0.2,3.431,0.0,20,0
TASK-582,Simulated task 582 with 46 words,18,0.351,0.557,1,5,1,1,,,,,,,,,46.0,0.278,1.234,3.6,18,0
TASK-583,Simulated task 583 with 58 words,13,0.386,0.916,2,4,1,0,,,,,,,,,58.0,0.308,1.883,0.0,13,0
TASK-584,Simulated task 584 with 53 words,14,0.123,0.246,4,2,0,1,,,,,,,,,53.0,0.143,1.103,2.8000000000000003,14,1
TASK-585,Simulated task 585 with 84 words,15,0.714,0.428,2,5,0,1,,,,,,,,,84.0,0.333,0.525,3.0,15,1
TASK-586,Simulated task 586 with 83 words,6,0.811,0.4,2,1,0,1,,,,,,,,,83.0,0.167,0.44,1.2000000000000002,6,1
TASK-587,Simulated task 587 with 43 words,1,0.506,0.91,0,5,0,1,,,,,,,,,43.0,5.0,1.501,0.2,1,1
TASK-588,Simulated task 588 with 51 words,7,0.646,0.775,3,1,0,1,,,,,,,,,51.0,0.143,1.039,1.4000000000000001,7,1
TASK-589,Simulated task 589 with 65 words,1,0.204,0.1,2,4,0,1,,,,,,,,,65.0,4.0,0.329,0.2,1,1
TASK-590,Simulated task 590 with 52 words,15,0.472,0.483,2,5,0,0,,,,,,,,,52.0,0.333,0.846,0.0,15,0
TASK-591,Simulated task 591 with 61 words,29,0.384,0.84,7,4,1,1,,,,,,,,,61.0,0.138,1.734,5.800000000000001,29,0
TASK-592,Simulated task 592 with 54 words,6,0.582,0.878,4,1,0,1,,,,,,,,,54.0,0.167,1.287,1.2000000000000002,6,1
TASK-593,Simulated task 593 with 50 words,5,0.1,0.703,3,4,1,1,,,,,,,,,50.0,0.8,3.517,1.0,5,0
TASK-594,Simulated task 594 with 59 words,12,0.439,0.645,3,3,0,1,,,,,,,,,59.0,0.25,1.197,2.4000000000000004,12,1
TASK-595,Simulated task 595 with 75 words,26,0.626,0.367,1,1,1,0,,,,,,,,,75.0,0.038,0.506,0.0,26,0
TASK-596,Simulated task 596 with 70 words,30,0.548,0.868,0,4,1,0,,,,,,,,,70.0,0.133,1.34,0.0,30,0
TASK-597,Simulated task 597 with 48 words,3,0.657,0.301,0,5,0,0,,,,,,,,,48.0,1.667,0.398,0.0,3,0
TASK-598,Simulated task 598 with 50 words,22,0.38,0.197,0,4,1,0,,,,,,,,,50.0,0.182,0.41,0.0,22,0
TASK-599,Simulated task 599 with 69 words,20,0.1,0.652,2,2,1,1,,,,,,,,,69.0,0.1,3.26,4.0,20,0
TASK-600,Simulated task 600 with 102 words,14,0.72,0.489,2,1,0,0,,,,,,,,,102.0,0.071,0.597,0.0,14,0
TASK-601,Simulated task 601 with 60 words,28,0.652,0.781,2,4,1,0,,,,,,,,,60.0,0.143,1.039,0.0,28,0
TASK-602,Simulated task 602 with 41 words,6,0.814,0.721,2,3,0,1,,,,,,,,,41.0,0.5,0.789,1.2000000000000002,6,1
TASK-603,Simulated task 603 with 40 words,4,0.515,1.0,4,2,1,1,,,,,,,,,40.0,0.5,1.626,0.8,4,0
TASK-604,Simulated task 604 with 46 words,15,0.583,0.701,2,1,0,0,,,,,,,,,46.0,0.067,1.026,0.0,15,0
TASK-605,Simulated task 605 with 61 words,17,0.966,0.865,4,2,0,1,,,,,,,,,61.0,0.118,0.812,3.4000000000000004,17,1
TASK-606,Simulated task 606 with 58 words,5,0.13,0.387,0,5,1,0,,,,,,,,,58.0,1.0,1.685,0.0,5,0
TASK-607,Simulated task 607 with 56 words,24,0.589,0.778,3,3,1,0,,,,,,,,,56.0,0.125,1.129,0.0,24,0
TASK-608,Simulated task 608 with 86 words,6,0.744,0.531,1,5,1,0,,,,,,,,,86.0,0.833,0.629,0.0,6,0
TASK-609,Simulated task 609 with 54 words,10,0.543,0.477,2,4,0,0,,,,,,,,,54.0,0.4,0.742,0.0,10,0
TASK-610,Simulated task 610 with 72 words,9,0.513,0.374,4,2,0,1,,,,,,,,,72.0,0.222,0.61,1.8,9,1
TASK-611,Simulated task 611 with 96 words,4,0.203,0.986,5,5,1,1,,,,,,,,,96.0,1.25,3.25,0.8,4,0
TASK-612,Simulated task 612 with 66 words,26,0.793,0.598,6,4,0,1,,,,,,,,,66.0,0.154,0.67,5.2,26,1
TASK-613,Simulated task 613 with 109 words,9,0.714,0.403,5,3,0,1,,,,,,,,,109.0,0.333,0.495,1.8,9,1
TASK-614,Simulated task 614 with 61 words,8,0.757,0.77,2,5,1,1,,,,,,,,,61.0,0.625,0.898,1.6,8,0
TASK-615,Simulated task 615 with 34 words,3,0.496,0.49,2,2,0,1,,,,,,,,,34.0,0.667,0.823,0.6000000000000001,3,1
TASK-616,Simulated task 616 with 65 words,30,0.436,0.4,0,5,1,0,,,,,,,,,65.0,0.167,0.747,0.0,30,0
TASK-617,Simulated task 617 with 59 words,22,0.499,1.0,7,3,0,1,,,,,,,,,59.0,0.136,1.67,4.4,22,1
TASK-618,Simulated task 618 with 75 words,20,0.84,0.298,2,4,0,0,,,,,,,,,75.0,0.2,0.317,0.0,20,0
TASK-619,Simulated task 619 with 65 words,1,0.448,1.0,4,5,0,1,,,,,,,,,65.0,5.0,1.825,0.2,1,1
TASK-620,Simulated task 620 with 51 words,25,0.796,0.397,2,5,0,1,,,,,,,,,51.0,0.2,0.443,5.0,25,1
TASK-621,Simulated task 621 with 38 words,20,0.471,0.757,3,1,1,0,,,,,,,,,38.0,0.05,1.326,0.0,20,0
TASK-622,Simulated task 622 with 56 words,27,0.329,0.575,3,4,0,1,,,,,,,,,56.0,0.148,1.341,5.4,27,1
TASK-623,Simulated task 623 with 38 words,30,0.1,0.784,2,1,1,0,,,,,,,,,38.0,0.033,3.921,0.0,30,0
TASK-624,Simulated task 624 with 73 words,5,0.615,0.255,3,1,0,1,,,,,,,,,73.0,0.2,0.356,1.0,5,1
TASK-625,Simulated task 625 with 25 words,3,0.654,0.224,1,3,0,1,,,,,,,,,25.0,1.0,0.297,0.6000000000000001,3,1
TASK-626,Simulated task 626 with 69 words,4,0.27,0.792,1,3,1,1,,,,,,,,,69.0,0.75,2.14,0.8,4,0
TASK-627,Simulated task 627 with 67 words,29,0.795,0.155,0,2,0,0,,,,,,,,,67.0,0.069,0.173,0.0,29,0
TASK-628,Simulated task 628 with 53 words,25,0.224,0.308,2,4,1,0,,,,,,,,,53.0,0.16,0.951,0.0,25,0
TASK-629,Simulated task 629 with 45 words,23,0.642,0.578,0,4,1,0,,,,,,,,,45.0,0.174,0.779,0.0,23,0
TASK-630,Simulated task 630 with 51 words,24,0.651,0.276,0,3,0,0,,,,,,,,,51.0,0.125,0.368,0.0,24,0
TASK-631,Simulated task 631 with 58 words,19,0.715,0.308,1,3,0,0,,,,,,,,,58.0,0.158,0.378,0.0,19,0
TASK-632,Simulated task 632 with 94 words,15,0.106,0.497,2,1,0,0,,,,,,,,,94.0,0.067,2.416,0.0,15,0
TASK-633,Simulated task 633 with 50 words,19,0.713,0.1,2,3,0,0,,,,,,,,,50.0,0.158,0.123,0.0,19,0
TASK-634,Simulated task 634 with 82 words,16,0.471,0.25,3,5,0,1,,,,,,,,,82.0,0.312,0.437,3.2,16,1
TASK-635,Simulated task 635 with 58 words,30,0.432,0.935,1,4,1,0,,,,,,,,,58.0,0.133,1.758,0.0,30,0
TASK-636,Simulated task 636 with 76 words,23,0.665,0.839,2,2,1,0,,,,,,,,,76.0,0.087,1.097,0.0,23,0
TASK-637,Simulated task 637 with 63 words,8,0.692,1.0,1,1,1,1,,,,,,,,,63.0,0.125,1.262,1.6,8,0
TASK-638,Simulated task 638 with 89 words,14,0.102,0.749,2,5,1,1,,,,,,,,,89.0,0.357,3.701,2.8000000000000003,14,0
TASK-639,Simulated task 639 with 60 words,5,0.242,0.925,2,3,1,0,,,,,,,,,60.0,0.6,2.706,0.0,5,0
TASK-640,Simulated task 640 with 63 words,1,0.74,0.495,3,2,0,1,,,,,,,,,63.0,2.0,0.589,0.2,1,1
TASK-641,Simulated task 641 with 53 words,19,0.595,0.553,0,3,0,0,,,,,,,,,53.0,0.158,0.796,0.0,19,0
TASK-642,Simulated task 642 with 66 words,5,0.536,0.703,2,5,1,0,,,,,,,,,66.0,1.0,1.105,0.0,5,0
TASK-643,Simulated task 643 with 50 words,3,0.303,0.127,1,2,0,0,,,,,,,,,50.0,0.667,0.314,0.0,3,0
TASK-644,Simulated task 644 with 42 words,30,0.588,0.736,2,3,1,0,,,,,,,,,42.0,0.1,1.071,0.0,30,0
TASK-645,Simulated task 645 with 83 words,17,0.744,0.444,2,5,0,0,,,,,,,,,83.0,0.294,0.526,0.0,17,0
TASK-646,Simulated task 646 with 60 words,7,0.964,0.486,2,5,0,1,,,,,,,,,60.0,0.714,0.457,1.4000000000000001,7,1
TASK-647,Simulated task 647 with 66 words,17,0.429,0.849,2,2,0,0,,,,,,,,,66.0,0.118,1.605,0.0,17,0
TASK-648,Simulated task 648 with 46 words,26,0.675,0.212,0,5,1,0,,,,,,,,,46.0,0.192,0.273,0.0,26,0
TASK-649,Simulated task 649 with 65 words,13,0.871,0.614,3,3,0,1,,,,,,,,,65.0,0.231,0.632,2.6,13,1
TASK-650,Simulated task 650 with 63 words,22,0.21,0.712,0,2,1,0,,,,,,,,,63.0,0.091,2.295,0.0,22,0
TASK-651,Simulated task 651 with 41 words,22,0.86,0.467,1,1,0,0,,,,,,,,,41.0,0.045,0.487,0.0,22,0
TASK-652,Simulated task 652 with 77 words,14,0.54,0.609,2,5,0,0,,,,,,,,,77.0,0.357,0.952,0.0,14,0
TASK-653,Simulated task 653 with 46 words,23,0.515,0.621,1,3,1,0,,,,,,,,,46.0,0.13,1.01,0.0,23,0
TASK-654,Simulated task 654 with 89 words,12,0.392,0.824,1,2,1,0,,,,,,,,,89.0,0.167,1.677,0.0,12,0
TASK-655,Simulated task 655 with 47 words,11,0.427,0.554,2,1,1,1,,,,,,,,,47.0,0.091,1.052,2.2,11,0
TASK-656,Simulated task 656 with 33 words,1,0.351,0.287,1,1,0,1,,,,,,,,,33.0,1.0,0.636,0.2,1,1
TASK-657,Simulated task 657 with 65 words,27,0.309,0.456,2,4,1,0,,,,,,,,,65.0,0.148,1.113,0.0,27,0
TASK-658,Simulated task 658 with 49 words,3,0.59,0.513,1,4,0,1,,,,,,,,,49.0,1.333,0.743,0.6000000000000001,3,1
TASK-659,Simulated task 659 with 57 words,12,0.723,0.4,1,2,0,0,,,,,,,,,57.0,0.167,0.486,0.0,12,0
TASK-660,Simulated task 660 with 46 words,9,0.29,0.647,1,5,0,0,,,,,,,,,46.0,0.556,1.658,0.0,9,0
TASK-661,Simulated task 661 with 58 words,2,0.361,0.635,2,3,0,1,,,,,,,,,58.0,1.5,1.378,0.4,2,1
TASK-662,Simulated task 662 with 54 words,14,0.551,0.622,2,5,0,1,,,,,,,,,54.0,0.357,0.956,2.8000000000000003,14,1
TASK-663,Simulated task 663 with 71 words,5,0.277,0.376,0,3,1,1,,,,,,,,,71.0,0.6,0.996,1.0,5,0
TASK-664,Simulated task 664 with 110 words,3,0.549,0.632,1,3,0,0,,,,,,,,,110.0,1.0,0.975,0.0,3,0
TASK-665,Simulated task 665 with 75 words,12,0.446,0.922,0,4,1,0,,,,,,,,,75.0,0.333,1.689,0.0,12,0
TASK-666,Simulated task 666 with 67 words,12,0.172,0.674,2,4,1,1,,,,,,,,,67.0,0.333,2.473,2.4000000000000004,12,0
TASK-667,Simulated task 667 with 58 words,29,0.594,0.868,4,5,1,0,,,,,,,,,58.0,0.172,1.25,0.0,29,0
TASK-668,Simulated task 668 with 64 words,21,0.388,0.627,1,2,1,0,,,,,,,,,64.0,0.095,1.286,0.0,21,0
TASK-669,Simulated task 669 with 62 words,7,0.705,0.441,0,3,0,1,,,,,,,,,62.0,0.429,0.547,1.4000000000000001,7,1
TASK-670,Simulated task 670 with 66 words,1,0.461,0.815,2,4,0,1,,,,,,,,,66.0,4.0,1.453,0.2,1,1
TASK-671,Simulated task 671 with 87 words,3,0.358,0.248,2,2,0,1,,,,,,,,,87.0,0.667,0.542,0.6000000000000001,3,1
TASK-672,Simulated task 672 with 79 words,11,0.493,0.46,1,4,1,1,,,,,,,,,79.0,0.364,0.776,2.2,11,0
TASK-673,Simulated task 673 with 47 words,13,0.748,0.565,3,3,0,1,,,,,,,,,47.0,0.231,0.666,2.6,13,1
TASK-674,Simulated task 674 with 59 words,22,0.868,0.763,4,1,0,1,,,,,,,,,59.0,0.045,0.788,4.4,22,1
TASK-675,Simulated task 675 with 63 words,23,0.619,0.919,1,4,1,0,,,,,,,,,63.0,0.174,1.278,0.0,23,0
TASK-676,Simulated task 676 with 82 words,10,0.382,0.812,2,2,1,0,,,,,,,,,82.0,0.2,1.683,0.0,10,0
TASK-677,Simulated task 677 with 77 words,19,0.507,0.787,4,5,1,1,,,,,,,,,77.0,0.263,1.297,3.8000000000000003,19,0
TASK-678,Simulated task 678 with 44 words,4,0.48,0.816,1,5,1,1,,,,,,,,,44.0,1.25,1.406,0.8,4,0
TASK-679,Simulated task 679 with 78 words,22,0.47,0.851,2,3,1,1,,,,,,,,,78.0,0.136,1.493,4.4,22,0
TASK-680,Simulated task 680 with 117 words,5,0.449,0.316,1,1,0,0,,,,,,,,,117.0,0.2,0.575,0.0,5,0
TASK-681,Simulated task 681 with 44 words,11,0.307,1.0,5,4,1,1,,,,,,,,,44.0,0.364,2.458,2.2,11,0
TASK-682,Simulated task 682 with 91 words,9,0.695,0.877,4,4,0,1,,,,,,,,,91.0,0.444,1.104,1.8,9,1
TASK-683,Simulated task 683 with 56 words,13,0.672,0.555,2,1,0,1,,,,,,,,,56.0,0.077,0.718,2.6,13,1
TASK-684,Simulated task 684 with 93 words,28,0.505,0.693,1,3,1,0,,,,,,,,,93.0,0.107,1.146,0.0,28,0
TASK-685,Simulated task 685 with 51 words,17,0.752,0.272,3,3,0,1,,,,,,,,,51.0,0.176,0.319,3.4000000000000004,17,1
TASK-686,Simulated task 686 with 72 words,15,0.618,0.535,1,2,0,0,,,,,,,,,72.0,0.133,0.745,0.0,15,0
TASK-687,Simulated task 687 with 81 words,13,0.277,0.514,0,2,1,0,,,,,,,,,81.0,0.154,1.366,0.0,13,0
TASK-688,Simulated task 688 with 64 words,21,0.429,0.494,2,2,0,0,,,,,,,,,64.0,0.095,0.933,0.0,21,0
TASK-689,Simulated task 689 with 117 words,11,0.796,0.804,1,3,1,1,,,,,,,,,117.0,0.273,0.897,2.2,11,0
TASK-690,Simulated task 690 with 80 words,1,0.428,0.626,2,4,0,1,,,,,,,,,80.0,4.0,1.186,0.2,1,1
TASK-691,Simulated task 691 with 62 words,8,0.361,0.301,5,5,0,1,,,,,,,,,62.0,0.625,0.653,1.6,8,1
TASK-692,Simulated task 692 with 57 words,23,0.644,0.306,2,3,0,0,,,,,,,,,57.0,0.13,0.411,0.0,23,0
TASK-693,Simulated task 693 with 76 words,5,0.444,0.109,2,1,0,1,,,,,,,,,76.0,0.2,0.2,1.0,5,1
TASK-694,Simulated task 694 with 136 words,22,0.612,0.82,0,5,1,0,,,,,,,,,136.0,0.227,1.151,0.0,22,0
TASK-695,Simulated task 695 with 106 words,16,0.493,0.544,2,3,0,1,,,,,,,,,106.0,0.188,0.917,3.2,16,1
TASK-696,Simulated task 696 with 42 words,4,0.341,0.789,1,3,0,0,,,,,,,,,42.0,0.75,1.79,0.0,4,0
TASK-697,Simulated task 697 with 70 words,25,0.361,1.0,2,2,1,0,,,,,,,,,70.0,0.08,2.167,0.0,25,0
TASK-698,Simulated task 698 with 72 words,30,0.163,0.375,4,4,1,0,,,,,,,,,72.0,0.133,1.428,0.0,30,0
TASK-699,Simulated task 699 with 63 words,19,0.279,0.682,3,4,0,1,,,,,,,,,63.0,0.211,1.799,3.8000000000000003,19,1
TASK-700,Simulated task 700 with 57 words,18,0.626,0.961,1,5,0,0,,,,,,,,,57.0,0.278,1.324,0.0,18,0
TASK-701,Simulated task 701 with 79 words,23,0.741,0.478,1,3,0,0,,,,,,,,,79.0,0.13,0.568,0.0,23,0
TASK-702,Simulated task 702 with 108 words,29,0.378,0.515,3,2,1,1,,,,,,,,,108.0,0.069,1.078,5.800000000000001,29,0
TASK-703,Simulated task 703 with 34 words,2,0.225,0.733,1,1,1,1,,,,,,,,,34.0,0.5,2.254,0.4,2,0
TASK-704,Simulated task 704 with 66 words,13,0.728,1.0,0,3,1,0,,,,,,,,,66.0,0.231,1.208,0.0,13,0
TASK-705,Simulated task 705 with 44 words,16,0.733,0.759,1,2,0,0,,,,,,,,,44.0,0.125,0.911,0.0,16,0
TASK-706,Simulated task 706 with 51 words,22,0.645,0.389,1,1,0,0,,,,,,,,,51.0,0.045,0.523,0.0,22,0
TASK-707,Simulated task 707 with 45 words,27,0.21,0.42,3,1,0,1,,,,,,,,,45.0,0.037,1.354,5.4,27,1
TASK-708,Simulated task 708 with 66 words,8,0.603,0.478,1,5,0,1,,,,,,,,,66.0,0.625,0.68,1.6,8,1
TASK-709,Simulated task 709 with 76 words,19,0.61,0.145,2,4,0,0,,,,,,,,,76.0,0.211,0.204,0.0,19,0
TASK-710,Simulated task 710 with 90 words,3,0.68,0.56,4,4,0,1,,,,,,,,,90.0,1.333,0.718,0.6000000000000001,3,1
TASK-711,Simulated task 711 with 55 words,19,0.53,0.602,5,5,1,1,,,,,,,,,55.0,0.263,0.955,3.8000000000000003,19,0
TASK-712,Simulated task 712 with 58 words,17,0.35,0.612,4,3,1,1,,,,,,,,,58.0,0.176,1.359,3.4000000000000004,17,0
TASK-713,Simulated task 713 with 73 words,9,0.419,0.238,1,2,0,1,,,,,,,,,73.0,0.222,0.458,1.8,9,1
TASK-714,Simulated task 714 with 87 words,21,0.735,0.686,1,4,0,0,,,,,,,,,87.0,0.19,0.822,0.0,21,0
TASK-715,Simulated task 715 with 62 words,25,0.576,0.354,5,5,0,1,,,,,,,,,62.0,0.2,0.524,5.0,25,1
TASK-716,Simulated task 716 with 68 words,21,0.238,0.54,2,4,1,1,,,,,,,,,68.0,0.19,1.597,4.2,21,0
TASK-717,Simulated task 717 with 41 words,23,0.841,0.414,2,4,1,1,,,,,,,,,41.0,0.174,0.44,4.6000000000000005,23,0
TASK-718,Simulated task 718 with 52 words,17,0.731,0.889,1,4,1,1,,,,,,,,,52.0,0.235,1.069,3.4000000000000004,17,0
TASK-719,Simulated task 719 with 81 words,25,0.832,0.429,1,3,1,0,,,,,,,,,81.0,0.12,0.46,0.0,25,0
TASK-720,Simulated task 720 with 53 words,1,0.727,0.936,1,5,0,1,,,,,,,,,53.0,5.0,1.132,0.2,1,1
TASK-721,Simulated task 721 with 75 words,4,0.314,0.634,3,4,0,1,,,,,,,,,75.0,1.0,1.53,0.8,4,1
TASK-722,Simulated task 722 with 80 words,23,0.566,0.705,1,4,0,0,,,,,,,,,80.0,0.174,1.059,0.0,23,0
TASK-723,Simulated task 723 with 63 words,27,0.621,0.621,2,5,0,0,,,,,,,,,63.0,0.185,0.861,0.0,27,0
TASK-724,Simulated task 724 with 67 words,15,0.231,0.387,1,1,1,0,,,,,,,,,67.0,0.067,1.168,0.0,15,0
TASK-725,Simulated task 725 with 54 words,12,0.266,0.702,0,3,1,0,,,,,,,,,54.0,0.25,1.919,0.0,12,0
TASK-726,Simulated task 726 with 65 words,25,0.649,0.493,3,3,1,0,,,,,,,,,65.0,0.12,0.658,0.0,25,0
TASK-727,Simulated task 727 with 58 words,17,0.665,0.679,2,2,1,0,,,,,,,,,58.0,0.118,0.889,0.0,17,0
TASK-728,Simulated task 728 with 48 words,12,0.974,0.751,2,2,0,0,,,,,,,,,48.0,0.167,0.699,0.0,12,0
TASK-729,Simulated task 729 with 66 words,16,0.448,1.0,1,1,1,0,,,,,,,,,66.0,0.062,1.825,0.0,16,0
TASK-730,Simulated task 730 with 98 words,30,0.163,0.718,0,2,1,0,,,,,,,,,98.0,0.067,2.725,0.0,30,0
TASK-731,Simulated task 731 with 51 words,13,0.47,0.839,3,4,1,1,,,,,,,,,51.0,0.308,1.473,2.6,13,0
TASK-732,Simulated task 732 with 46 words,11,0.669,0.765,3,4,0,1,,,,,,,,,46.0,0.364,0.995,2.2,11,1
TASK-733,Simulated task 733 with 64 words,15,0.427,0.544,0,2,1,0,,,,,,,,,64.0,0.133,1.031,0.0,15,0
TASK-734,Simulated task 734 with 70 words,29,0.52,0.77,2,3,1,0,,,,,,,,,70.0,0.103,1.241,0.0,29,0
TASK-735,Simulated task 735 with 73 words,16,0.372,0.569,1,1,0,0,,,,,,,,,73.0,0.062,1.206,0.0,16,0
TASK-736,Simulated task 736 with 52 words,6,0.739,0.497,2,4,0,1,,,,,,,,,52.0,0.667,0.592,1.2000000000000002,6,1
TASK-737,Simulated task 737 with 71 words,27,0.649,0.328,2,1,0,1,,,,,,,,,71.0,0.037,0.437,5.4,27,1
TASK-738,Simulated task 738 with 75 words,26,0.336,0.763,3,2,1,0,,,,,,,,,75.0,0.077,1.75,0.0,26,0
TASK-739,Simulated task 739 with 47 words,11,0.396,0.458,0,5,0,0,,,,,,,,,47.0,0.455,0.924,0.0,11,0
TASK-740,Simulated task 740 with 56 words,15,0.364,0.757,2,1,1,0,,,,,,,,,56.0,0.067,1.631,0.0,15,0
TASK-741,Simulated task 741 with 77 words,5,0.128,0.601,1,1,0,0,,,,,,,,,77.0,0.2,2.636,0.0,5,0
TASK-742,Simulated task 742 with 98 words,3,0.348,0.529,3,2,0,1,,,,,,,,,98.0,0.667,1.182,0.6000000000000001,3,1
TASK-743,Simulated task 743 with 65 words,26,0.145,0.384,2,2,1,0,,,,,,,,,65.0,0.077,1.565,0.0,26,0
TASK-744,Simulated task 744 with 57 words,2,0.687,0.925,2,4,0,0,,,,,,,,,57.0,2.0,1.176,0.0,2,0
TASK-745,Simulated task 745 with 73 words,1,0.703,0.502,3,5,0,1,,,,,,,,,73.0,5.0,0.625,0.2,1,1
